               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.06202,            0.012927,                   0,             0.74607,             0.63618,             0.74527,             0.38817,            0.032171,           0.0048024,                   0,            0.070033,           0.0033296,           0.0033296
                   1,            0.043853,           0.0082696,                   0,             0.80515,             0.67055,             0.78186,             0.43274,            0.030314,           0.0043351,                   0,            0.039901,            0.006531,            0.006531
                   2,             0.04271,              0.0076,                   0,             0.73104,              0.6131,             0.69892,             0.37419,            0.032073,            0.004569,                   0,           0.0096375,           0.0096004,           0.0096004
                   3,            0.040688,            0.007499,                   0,             0.85425,             0.73353,             0.82983,              0.4703,            0.029832,           0.0037835,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.038948,           0.0072753,                   0,             0.84734,             0.73389,             0.84133,             0.48592,            0.028183,           0.0034714,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.036847,           0.0070972,                   0,             0.84299,             0.81166,             0.88397,             0.54235,            0.026556,           0.0033217,                   0,            0.009208,            0.009208,            0.009208
                   6,             0.03563,             0.00684,                   0,             0.88642,             0.78089,             0.88297,             0.54703,            0.026119,           0.0032102,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.034852,           0.0066143,                   0,             0.89961,             0.84979,             0.91421,             0.57344,            0.024941,           0.0031444,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.034057,           0.0065462,                   0,             0.88871,             0.83209,             0.90428,             0.55863,            0.025715,           0.0030776,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.033493,           0.0065069,                   0,             0.90898,             0.86303,             0.92611,             0.60046,            0.023882,           0.0029578,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.032812,           0.0063486,                   0,             0.90409,             0.82019,             0.90741,             0.58995,            0.023943,           0.0030343,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.032806,           0.0063333,                   0,             0.91165,             0.84459,             0.92846,             0.60816,            0.023176,           0.0028807,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.032014,           0.0062891,                   0,              0.8926,             0.86995,             0.93014,               0.613,            0.023038,           0.0029125,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.031731,           0.0062199,                   0,             0.90029,             0.88333,             0.93439,             0.62299,            0.022743,           0.0028749,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.031552,           0.0061608,                   0,             0.89174,               0.875,              0.9361,             0.62682,            0.022205,           0.0027761,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.031192,           0.0062245,                   0,             0.91457,             0.88011,             0.94246,             0.64258,            0.021865,           0.0027121,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.030734,           0.0060164,                   0,             0.89661,             0.89495,             0.94037,             0.63779,            0.021852,           0.0027367,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.030445,           0.0060023,                   0,             0.91396,             0.89496,             0.94354,             0.64398,             0.02153,           0.0027204,                   0,            0.006832,            0.006832,            0.006832
                  18,             0.03041,           0.0060281,                   0,             0.91237,             0.89219,             0.94655,             0.64666,            0.021056,           0.0027096,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.029945,           0.0060107,                   0,             0.92595,             0.89988,             0.95037,             0.65745,            0.020908,           0.0026427,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.030181,           0.0059381,                   0,             0.92628,             0.90158,              0.9524,             0.66368,            0.020678,           0.0025794,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.029626,           0.0060039,                   0,             0.91019,             0.90144,             0.95188,             0.66446,            0.020644,           0.0026001,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.029129,            0.005779,                   0,             0.92646,             0.90857,             0.95745,             0.67448,            0.020137,           0.0025336,                   0,            0.005842,            0.005842,            0.005842
                  23,              0.0286,           0.0057844,                   0,             0.92032,             0.91896,             0.95769,             0.67456,            0.019935,           0.0025204,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.028635,           0.0057294,                   0,             0.93474,             0.91936,             0.96051,             0.68664,            0.019634,           0.0024862,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.028489,           0.0057803,                   0,             0.92779,             0.91623,             0.95875,              0.6818,            0.019592,           0.0024851,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.028365,           0.0056492,                   0,             0.92866,             0.91587,             0.96053,             0.69079,             0.01926,           0.0024533,                   0,             0.00505,             0.00505,             0.00505
