               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.05846,            0.012532,                   0,              0.8369,             0.75672,             0.84922,             0.50079,             0.02963,           0.0042459,                   0,            0.070033,           0.0033296,           0.0033296
                   1,            0.040339,           0.0078749,                   0,             0.86526,             0.78269,             0.86157,              0.5161,             0.02771,           0.0036386,                   0,            0.039901,            0.006531,            0.006531
                   2,            0.039944,           0.0071038,                   0,             0.81911,             0.73092,             0.81569,             0.45565,            0.030288,           0.0040618,                   0,           0.0096375,           0.0096004,           0.0096004
                   3,            0.039037,           0.0071815,                   0,             0.87459,             0.74038,             0.83981,             0.49816,            0.028223,           0.0035023,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.036932,           0.0069162,                   0,             0.87394,             0.81166,             0.89663,             0.54791,            0.026084,           0.0031524,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.034351,           0.0066836,                   0,             0.89649,             0.83137,             0.90813,             0.56996,            0.024994,           0.0031198,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.033416,           0.0064645,                   0,             0.89932,             0.85433,             0.92396,             0.58491,            0.024371,           0.0029415,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.032504,           0.0061655,                   0,              0.9116,             0.87813,             0.93748,             0.61995,            0.022848,           0.0028088,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.031516,           0.0060751,                   0,             0.89182,             0.87397,             0.93505,             0.62301,            0.022758,           0.0028669,                   0,            0.008614,            0.008614,            0.008614
                   9,             0.03094,           0.0060744,                   0,             0.92056,             0.89419,             0.94558,             0.63752,            0.021999,           0.0027353,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.030155,           0.0058816,                   0,             0.92344,             0.88365,             0.94285,             0.64387,            0.021387,           0.0026998,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.030213,           0.0058827,                   0,             0.91413,              0.8744,             0.94595,             0.65113,            0.021174,           0.0026443,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.029424,           0.0058266,                   0,             0.92602,             0.91214,             0.95498,             0.66372,             0.02045,           0.0025616,                   0,            0.007822,            0.007822,            0.007822
                  13,             0.02915,           0.0057182,                   0,             0.92327,             0.91109,             0.95813,               0.672,            0.020364,           0.0025293,                   0,            0.007624,            0.007624,            0.007624
                  14,             0.02871,            0.005631,                   0,             0.91967,             0.90962,              0.9573,             0.67573,             0.02012,           0.0025244,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.028385,           0.0056802,                   0,             0.92952,             0.91466,             0.96218,              0.6876,            0.019752,           0.0024446,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.027911,           0.0055187,                   0,             0.91559,              0.9139,             0.95992,             0.68318,            0.019366,           0.0024491,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.027457,           0.0054866,                   0,             0.92675,             0.91683,              0.9616,             0.69523,            0.019161,           0.0024038,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.027449,           0.0054786,                   0,             0.94753,             0.92467,             0.96809,             0.71437,            0.018573,           0.0023683,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.027109,           0.0054547,                   0,             0.94135,             0.92236,             0.96662,             0.70805,            0.018448,           0.0023545,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.027238,           0.0053718,                   0,             0.93054,             0.92788,             0.96727,             0.70942,            0.018139,           0.0023319,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.026739,           0.0054081,                   0,             0.93643,             0.92948,             0.96929,             0.71675,            0.018113,           0.0022856,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.026194,           0.0051876,                   0,             0.93183,             0.94307,             0.97225,             0.73054,            0.017654,            0.002216,                   0,            0.005842,            0.005842,            0.005842
                  23,             0.02562,           0.0051817,                   0,             0.94702,             0.93678,             0.97448,             0.73607,            0.017385,           0.0021985,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.025549,           0.0051863,                   0,             0.94074,             0.94555,             0.97448,             0.73689,            0.017205,           0.0021719,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.025414,           0.0051571,                   0,              0.9384,             0.94669,             0.97586,             0.74284,            0.016777,           0.0021397,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.025215,             0.00504,                   0,             0.94396,             0.94411,             0.97634,             0.74759,            0.016554,           0.0021166,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.024903,           0.0049769,                   0,             0.94235,               0.947,             0.97739,             0.75154,            0.016475,           0.0020979,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.024878,           0.0050778,                   0,             0.94768,             0.95156,             0.97921,             0.75606,            0.016251,           0.0020696,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.024519,             0.00504,                   0,             0.95237,             0.95144,             0.98034,             0.76184,            0.016052,           0.0020396,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.024384,           0.0048807,                   0,             0.94343,             0.95577,              0.9799,             0.76428,            0.015882,           0.0020333,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.024035,           0.0049414,                   0,             0.95064,             0.95769,             0.98153,             0.77005,            0.015638,           0.0019994,                   0,             0.00406,             0.00406,             0.00406
