                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.3638,                 4.2095,                 3.7435,                0.09493,                0.14839,                 0.0431,                0.01169,                 2.5541,                 5.5674,                 2.9787,               0.070048,               0.003328,               0.003328
                      1,                 2.7833,                 2.9729,                 2.9569,                0.45695,                0.32079,                0.32279,                0.11684,                 2.1772,                 4.8297,                 2.4873,               0.039982,              0.0065954,              0.0065954
                      2,                 2.2168,                 2.4619,                 2.4192,                0.50819,                0.39765,                0.41969,                0.17766,                 1.8427,                  35.68,                 2.1362,              0.0098497,              0.0097968,              0.0097968
                      3,                 1.9623,                  2.179,                 2.1467,                0.74217,                0.56833,                0.65118,                0.31077,                 1.6911,                 3.6213,                 1.9097,               0.009703,               0.009703,               0.009703
                      4,                 1.8203,                 1.9862,                 1.9877,                0.69635,                0.54487,                0.61873,                0.30931,                 1.5809,                 8.8661,                 1.8107,               0.009703,               0.009703,               0.009703
                      5,                 1.7299,                 1.8591,                 1.9077,                0.70585,                0.64809,                0.68195,                0.34838,                 1.5412,                  6.077,                  1.733,               0.009604,               0.009604,               0.009604
                      6,                 1.6556,                 1.7395,                  1.841,                0.81181,                0.67214,                 0.7655,                0.42921,                  1.433,                 3.1054,                 1.6722,               0.009505,               0.009505,               0.009505
                      7,                 1.6156,                 1.6494,                 1.7929,                0.84747,                0.67625,                0.78867,                0.44193,                 1.4248,                  3.775,                 1.6395,               0.009406,               0.009406,               0.009406
                      8,                 1.5799,                 1.5927,                 1.7662,                0.83604,                0.72669,                0.81281,                 0.4768,                 1.3626,                 2.4788,                 1.5673,               0.009307,               0.009307,               0.009307
                      9,                 1.5418,                 1.5472,                 1.7335,                0.80666,                0.62639,                0.72008,                0.40802,                 1.4549,                   2.02,                 1.6435,               0.009208,               0.009208,               0.009208
