                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.4183,                 4.3052,                  3.854,                0.16317,                0.14252,                0.06791,                0.01701,                 2.6108,                  7.675,                 3.1334,               0.070048,               0.003328,               0.003328
                      1,                 2.7108,                  2.982,                 3.0173,                0.35071,                0.29367,                0.23544,                0.09057,                 2.0861,                 17.698,                 2.4101,               0.039916,              0.0065295,              0.0065295
                      2,                 2.1244,                 2.2817,                 2.3694,                 0.5003,                0.53436,                0.45419,                0.20154,                 1.7022,                 16.027,                 2.0943,              0.0096518,              0.0095989,              0.0095989
                      3,                 1.8541,                 2.0035,                 2.0955,                0.75046,                0.63853,                0.72167,                0.37332,                 1.5839,                 2.1426,                 1.8368,               0.009406,               0.009406,               0.009406
                      4,                  1.714,                 1.7975,                 1.9335,                0.78268,                0.61525,                0.72071,                 0.4002,                 1.4538,                 4.2529,                 1.7319,               0.009406,               0.009406,               0.009406
                      5,                 1.6123,                  1.683,                 1.8567,                0.80202,                0.65982,                0.75506,                   0.43,                  1.423,                  2.222,                 1.6767,               0.009208,               0.009208,               0.009208
                      6,                  1.551,                 1.5546,                 1.7927,                0.84968,                0.73601,                0.81734,                0.47511,                 1.3282,                 2.3487,                 1.6034,                0.00901,                0.00901,                0.00901
                      7,                 1.4887,                 1.4548,                 1.7401,                0.84727,                0.72555,                0.81978,                0.48358,                  1.279,                 4.5755,                 1.5495,               0.008812,               0.008812,               0.008812
                      8,                 1.4496,                 1.3869,                 1.7052,                0.87444,                0.76793,                0.85946,                0.54198,                 1.2222,                 2.1921,                 1.5002,               0.008614,               0.008614,               0.008614
                      9,                 1.4191,                 1.3501,                 1.6822,                0.87348,                0.75313,                0.84686,                0.52829,                 1.1962,                 1.7809,                 1.4906,               0.008416,               0.008416,               0.008416
                     10,                 1.3897,                 1.2906,                 1.6494,                0.90644,                0.79238,                0.88146,                0.56846,                 1.1575,                 1.5554,                 1.4566,               0.008218,               0.008218,               0.008218
                     11,                 1.3588,                 1.2498,                 1.6306,                0.90932,                0.82928,                0.90683,                0.59355,                 1.1277,                 1.8214,                 1.4043,                0.00802,                0.00802,                0.00802
                     12,                 1.3235,                 1.2088,                 1.5916,                0.89615,                 0.8098,                0.89209,                 0.5862,                 1.1165,                 1.3841,                 1.4101,               0.007822,               0.007822,               0.007822
                     13,                 1.3148,                 1.1843,                 1.5952,                0.88457,                 0.8315,                0.89872,                0.59248,                 1.0852,                 1.8156,                 1.3654,               0.007624,               0.007624,               0.007624
                     14,                 1.2924,                 1.1443,                 1.5678,                0.90935,                0.83109,                0.91241,                0.60727,                 1.0801,                 1.4212,                 1.3564,               0.007426,               0.007426,               0.007426
                     15,                 1.2679,                 1.1128,                 1.5446,                0.91355,                0.84985,                0.92273,                0.62784,                 1.0535,                 1.2062,                  1.334,               0.007228,               0.007228,               0.007228
                     16,                 1.2628,                 1.0793,                 1.5422,                0.92221,                0.84282,                0.91277,                0.61867,                 1.0658,                 1.0747,                  1.362,                0.00703,                0.00703,                0.00703
                     17,                 1.2444,                  1.083,                 1.5308,                0.91594,                0.85748,                0.91795,                0.62703,                 1.0337,                 1.2726,                 1.3287,               0.006832,               0.006832,               0.006832
                     18,                 1.2098,                 1.0401,                 1.5095,                0.92686,                0.85103,                0.92181,                0.63417,                 1.0104,                 1.1804,                 1.3089,               0.006634,               0.006634,               0.006634
                     19,                 1.1897,                 1.0284,                 1.4954,                0.93092,                0.86943,                0.92928,                0.64926,                0.98837,                 1.4551,                  1.297,               0.006436,               0.006436,               0.006436
                     20,                  1.187,                 1.0232,                 1.4878,                0.94572,                0.85689,                0.93394,                0.65669,                0.97608,                 1.2897,                 1.2606,               0.006238,               0.006238,               0.006238
                     21,                 1.1673,                0.97171,                 1.4642,                0.93676,                0.86569,                0.93368,                0.65619,                0.97385,                 1.1673,                 1.2726,                0.00604,                0.00604,                0.00604
