                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.3851,                 4.2131,                 3.7394,                0.02978,                0.25982,                0.01881,                0.00505,                  2.606,                 63.994,                 3.0285,               0.070048,               0.003328,               0.003328
                      1,                 2.7999,                 2.9939,                 2.9554,                0.44073,                0.39413,                0.38709,                 0.1401,                 2.1757,                 4.0459,                 2.4107,               0.039916,              0.0065295,              0.0065295
                      2,                 2.2107,                  2.385,                 2.3648,                0.62005,                0.46745,                0.50912,                0.22362,                 1.8272,                  12.06,                 2.1059,              0.0096518,              0.0095989,              0.0095989
                      3,                  1.964,                  2.131,                 2.1235,                0.67646,                0.47038,                0.53655,                0.24954,                  1.756,                 6.8619,                 1.9911,               0.009406,               0.009406,               0.009406
                      4,                 1.8154,                 1.9266,                 1.9648,                  0.744,                0.55367,                0.66312,                0.34542,                 1.5864,                  3.117,                 1.7932,               0.009406,               0.009406,               0.009406
                      5,                 1.7277,                  1.815,                 1.8904,                0.80419,                0.64798,                0.75576,                0.41035,                 1.4873,                 3.5747,                 1.6955,               0.009208,               0.009208,               0.009208
                      6,                  1.648,                 1.7053,                 1.8214,                0.83171,                0.65865,                0.76823,                0.43456,                 1.4233,                 1.7637,                 1.6453,                0.00901,                0.00901,                0.00901
                      7,                 1.6053,                 1.6195,                 1.7812,                0.79441,                 0.6346,                0.71618,                0.38643,                 1.5305,                 2.5881,                 1.7371,               0.008812,               0.008812,               0.008812
                      8,                 1.5635,                 1.5533,                 1.7408,                0.84176,                0.71449,                0.80814,                0.47753,                  1.356,                 2.0204,                 1.5539,               0.008614,               0.008614,               0.008614
                      9,                  1.535,                 1.5102,                 1.7128,                0.86958,                 0.7349,                0.82623,                0.49448,                 1.3298,                 1.5926,                 1.5325,               0.008416,               0.008416,               0.008416
                     10,                 1.5113,                 1.4466,                  1.687,                0.88903,                0.73196,                 0.8352,                0.50381,                 1.2927,                  2.861,                 1.5008,               0.008218,               0.008218,               0.008218
                     11,                 1.4833,                 1.4061,                 1.6633,                0.87051,                 0.7695,                0.85381,                0.50808,                 1.2974,                 2.6384,                 1.4961,                0.00802,                0.00802,                0.00802
                     12,                 1.4579,                 1.3832,                 1.6351,                0.90239,                0.74956,                 0.8576,                0.52533,                 1.2716,                  1.485,                 1.4693,               0.007822,               0.007822,               0.007822
                     13,                 1.4416,                 1.3486,                 1.6308,                0.88008,                0.75758,                0.85339,                0.52366,                 1.2493,                  2.316,                 1.4476,               0.007624,               0.007624,               0.007624
                     14,                  1.426,                 1.3047,                 1.6118,                0.88467,                0.78728,                0.87102,                0.55367,                 1.2051,                 2.2895,                 1.4082,               0.007426,               0.007426,               0.007426
                     15,                 1.4008,                 1.2717,                  1.586,                0.91603,                0.79413,                 0.8819,                0.55941,                 1.2044,                  1.477,                 1.4078,               0.007228,               0.007228,               0.007228
                     16,                 1.3985,                  1.241,                 1.5811,                0.90516,                0.80059,                0.89343,                0.57143,                   1.19,                  1.612,                 1.3947,                0.00703,                0.00703,                0.00703
                     17,                 1.3748,                 1.2404,                 1.5727,                 0.9103,                0.80176,                0.89057,                0.56692,                 1.1893,                 1.5956,                 1.3833,               0.006832,               0.006832,               0.006832
                     18,                 1.3541,                 1.2044,                 1.5588,                0.90434,                 0.8346,                0.89782,                 0.5849,                 1.1608,                 1.5588,                  1.357,               0.006634,               0.006634,               0.006634
                     19,                 1.3248,                 1.1953,                  1.534,                0.90149,                0.83196,                0.90533,                  0.589,                  1.147,                 1.8234,                 1.3499,               0.006436,               0.006436,               0.006436
                     20,                 1.3368,                 1.1832,                 1.5395,                0.93365,                0.81711,                0.90506,                0.60026,                 1.1425,                 1.5449,                 1.3365,               0.006238,               0.006238,               0.006238
                     21,                 1.3178,                 1.1455,                 1.5183,                0.93049,                0.84004,                0.91367,                0.60736,                 1.1082,                 1.2363,                 1.3079,                0.00604,                0.00604,                0.00604
                     22,                 1.2881,                 1.1182,                 1.5054,                 0.9296,                0.82287,                0.90926,                0.61025,                 1.1088,                 1.1725,                 1.3114,               0.005842,               0.005842,               0.005842
                     23,                 1.3094,                  1.126,                 1.5244,                0.93591,                0.83754,                0.91772,                0.61685,                 1.0957,                 1.2649,                 1.3096,               0.005644,               0.005644,               0.005644
                     24,                 1.2815,                 1.1003,                 1.4943,                0.92682,                0.84399,                0.91625,                0.61338,                  1.092,                 1.2332,                 1.3027,               0.005446,               0.005446,               0.005446
                     25,                 1.2752,                  1.089,                 1.4918,                0.92658,                0.84633,                0.92092,                0.62027,                 1.0874,                 1.1841,                 1.2901,               0.005248,               0.005248,               0.005248
                     26,                 1.2561,                 1.0705,                 1.4834,                0.92265,                0.85354,                0.92477,                0.62812,                 1.0681,                 1.3953,                 1.2858,                0.00505,                0.00505,                0.00505
                     27,                  1.253,                 1.0511,                 1.4735,                0.92483,                0.85044,                0.92464,                0.62849,                 1.0743,                  1.184,                 1.2877,               0.004852,               0.004852,               0.004852
                     28,                 1.2326,                 1.0411,                 1.4581,                0.93479,                0.85924,                0.92571,                0.63705,                 1.0444,                 1.1844,                 1.2672,               0.004654,               0.004654,               0.004654
                     29,                 1.2307,                 1.0369,                 1.4582,                0.94177,                0.85044,                0.92898,                0.63038,                 1.0627,                  1.239,                 1.2782,               0.004456,               0.004456,               0.004456
                     30,                 1.2228,                 1.0332,                 1.4485,                0.94384,                0.85754,                0.93297,                0.64392,                 1.0378,                  1.101,                 1.2601,               0.004258,               0.004258,               0.004258
                     31,                 1.2184,                 1.0134,                 1.4475,                0.93057,                0.86334,                0.92799,                0.64102,                 1.0416,                0.99464,                 1.2639,                0.00406,                0.00406,                0.00406
                     32,                 1.2042,                0.99545,                 1.4467,                0.93718,                0.87507,                 0.9363,                0.64774,                 1.0475,                 1.0871,                 1.2678,               0.003862,               0.003862,               0.003862
                     33,                 1.1995,                0.98012,                 1.4318,                0.94008,                 0.8739,                0.93913,                0.64704,                 1.0378,                 1.0691,                 1.2511,               0.003664,               0.003664,               0.003664
                     34,                 1.1823,                0.98237,                 1.4194,                0.94652,                0.87199,                0.93605,                0.65478,                 1.0078,                 1.1032,                 1.2399,               0.003466,               0.003466,               0.003466
                     35,                 1.1733,                0.96093,                 1.4112,                0.94762,                0.86862,                0.93858,                0.65606,                 1.0246,                  1.063,                 1.2396,               0.003268,               0.003268,               0.003268
                     36,                 1.1699,                0.95549,                 1.4107,                0.94082,                0.86979,                0.93922,                0.65908,                  1.005,                0.99181,                 1.2375,                0.00307,                0.00307,                0.00307
                     37,                 1.1608,                0.93923,                 1.4054,                0.93644,                0.88141,                0.93918,                0.66097,                 1.0079,                 1.2039,                 1.2304,               0.002872,               0.002872,               0.002872
                     38,                 1.1451,                0.92386,                 1.3987,                0.94712,                0.88035,                0.94308,                0.66396,                0.99099,                 1.0395,                 1.2219,               0.002674,               0.002674,               0.002674
