                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.3804,                 4.1998,                 3.7554,                0.12389,                0.11554,                0.05393,                0.01634,                 2.5519,                 4.4376,                 3.0229,               0.070048,               0.003328,               0.003328
                      1,                  2.763,                  2.985,                  2.992,                0.08575,                0.19765,                  0.077,                0.02589,                 2.1433,                 100.91,                 2.4988,               0.039916,              0.0065295,              0.0065295
                      2,                 2.2119,                 2.3788,                 2.4301,                0.65877,                0.48211,                0.54648,                0.24488,                 1.8694,                 4.8646,                 2.2104,              0.0096518,              0.0095989,              0.0095989
                      3,                 1.9344,                 2.1279,                  2.185,                0.76089,                0.55073,                0.64881,                0.31094,                 1.6912,                 2.5948,                 1.9764,               0.009406,               0.009406,               0.009406
                      4,                 1.7775,                 1.8683,                 1.9971,                0.75572,                0.59878,                0.70257,                0.38203,                 1.5473,                 3.7218,                 1.8147,               0.009406,               0.009406,               0.009406
                      5,                 1.6785,                 1.7547,                 1.9142,                  0.806,                0.66804,                0.76718,                 0.4231,                 1.4774,                 2.7567,                 1.7209,               0.009208,               0.009208,               0.009208
                      6,                  1.604,                 1.6323,                 1.8394,                0.85663,                0.70787,                0.80161,                0.45948,                 1.4034,                 1.8468,                 1.6961,                0.00901,                0.00901,                0.00901
                      7,                  1.562,                  1.536,                  1.794,                0.82605,                0.73531,                0.82136,                0.47315,                 1.3631,                 4.1342,                 1.6181,               0.008812,               0.008812,               0.008812
                      8,                 1.5231,                 1.4614,                 1.7563,                 0.8782,                0.74018,                0.84534,                0.51678,                  1.282,                 2.1282,                 1.5569,               0.008614,               0.008614,               0.008614
                      9,                 1.4801,                 1.4206,                 1.7182,                0.86252,                0.77185,                0.85898,                0.52735,                 1.2573,                 2.4696,                 1.5123,               0.008416,               0.008416,               0.008416
                     10,                 1.4511,                  1.367,                 1.6813,                0.89118,                0.76849,                0.86254,                0.53738,                 1.2209,                 1.7766,                  1.481,               0.008218,               0.008218,               0.008218
                     11,                 1.4262,                  1.333,                 1.6622,                0.87576,                0.78967,                0.87244,                0.53069,                 1.2408,                 2.7117,                 1.4737,                0.00802,                0.00802,                0.00802
                     12,                 1.3985,                 1.3012,                 1.6307,                0.90135,                0.81994,                0.89414,                0.55861,                 1.2053,                 1.7621,                 1.4635,               0.007822,               0.007822,               0.007822
                     13,                  1.381,                 1.2569,                 1.6316,                0.92305,                0.80293,                0.89703,                0.58031,                 1.1601,                 1.3276,                 1.4063,               0.007624,               0.007624,               0.007624
                     14,                 1.3597,                 1.2185,                 1.6034,                0.90274,                0.79765,                0.89142,                0.56807,                  1.151,                 1.8506,                 1.4039,               0.007426,               0.007426,               0.007426
                     15,                 1.3312,                 1.1906,                 1.5757,                 0.9291,                0.83004,                0.91036,                0.59585,                 1.1119,                 1.5103,                 1.3788,               0.007228,               0.007228,               0.007228
                     16,                 1.3211,                 1.1727,                 1.5699,                0.90707,                0.82933,                0.91252,                 0.5994,                 1.1188,                 1.5966,                 1.3765,                0.00703,                0.00703,                0.00703
                     17,                 1.3095,                 1.1603,                 1.5601,                0.92314,                0.83833,                0.91253,                0.61073,                 1.0928,                 1.2644,                 1.3521,               0.006832,               0.006832,               0.006832
                     18,                 1.2794,                 1.1174,                 1.5361,                0.91209,                0.85161,                0.91299,                0.60243,                 1.0872,                 1.6322,                 1.3396,               0.006634,               0.006634,               0.006634
                     19,                 1.2557,                 1.1028,                 1.5185,                 0.9089,                0.85924,                0.91912,                0.61858,                 1.0656,                 1.4046,                 1.3268,               0.006436,               0.006436,               0.006436
